customer_tweet_id,brand_tweet_id,customer_author_id,brand_author_id,created_at,customer_message,brand_reply,ground_truth_intent
1000000,1000001,User_39256,AmazonHelp,2026-08-05T23:06:00Z,Opened my box today and 1 of the 3 items I ordered was missing! Order #381-5108603.,Apologies for the package damage. Send us a direct message with your order number so our team can assist you.,missing_damaged_item
1000002,1000003,User_13905,AmazonHelp,2026-08-03T06:14:00Z,Amazon service has gone completely downhill over the last few years! Very disappointed.,Thank you for your feedback regarding pricing. We strive to offer competitive prices every day across our store catalog.,other_unclear
1000004,1000005,User_95181,AmazonHelp,2026-08-23T17:26:00Z,Why is everything so expensive nowadays?,We're truly sorry to hear you feel this way. We appreciate your feedback and would like to know how we can improve. Feel free to DM us.,other_unclear
1000006,1000007,User_30926,AmazonHelp,2026-08-23T13:21:00Z,Tried to click cancel order button on website but it says shipping process already started. Can you stop it?,You can update your payment method directly under Your Orders > Change Payment. DM us if you experience an error.,cancellation_order_change
1000008,1000009,User_23396,AmazonHelp,2026-08-03T12:06:00Z,My gift card balance was not applied to my purchase and my debit card was charged full amount.,Sorry to hear your gift card wasn't applied! Send a direct message with your order ID so we can adjust the billing allocation.,billing_payment_issue
1000010,1000011,User_70217,AmazonHelp,2026-08-18T03:59:00Z,I purchased a Kindle ebook but it's not syncing to my Kindle Paperwhite device.,We recommend reinstalling the app and updating iOS. DM us if you're still experiencing crashes!,prime_digital_services
1000012,1000013,User_85674,AmazonHelp,2026-08-07T22:04:00Z,I'm locked out of my Amazon account and not receiving the 2FA OTP code on my mobile phone.,Try clearing browser cookies/cache or using a different browser. DM us if the 2FA loop continues!,account_login_security
1000014,1000015,User_20458,AmazonHelp,2026-08-28T07:55:00Z,Order 114-0029411-94821 missed delivery window today. I needed this for an event tonight!,Thanks for reaching out! Please send us a direct message with your order ID and address so we can locate your shipment.,shipping_delivery_status
1000016,1000017,User_31319,AmazonHelp,2026-08-12T11:13:00Z,The glass bottle inside my Amazon parcel leaked all over the rest of the contents.,We apologize for sending the wrong item! Please send us a DM with your order # and we will arrange a return label and correct dispatch.,missing_damaged_item
1000018,1000019,User_89840,AmazonHelp,2026-08-21T05:34:00Z,I was charged for a subscription I never signed up for.,We take unauthorized charges seriously! Please send us a DM with the charge date and amount so we can investigate your account.,billing_payment_issue
1000020,1000021,User_93886,AmazonHelp,2026-08-23T17:14:00Z,Please cancel order #112-8849102 immediately! I ordered by mistake.,"If the order is already in final dispatch, we may not be able to stop it, but you can refuse delivery or initiate a return! DM us details.",cancellation_order_change
1000022,1000023,User_51347,AmazonHelp,2026-08-13T08:04:00Z,Prime Video is giving error code 5004 whenever I try to stream on my Smart TV.,You can manage or cancel your Prime membership anytime via Account > Prime Membership! DM us if you need direct link.,prime_digital_services
1000024,1000025,User_95909,AmazonHelp,2026-08-16T12:56:00Z,Need to change payment method on my recent order before it gets dispatched.,Please DM us your order ID right away so we can submit a cancellation request to the fulfillment center.,cancellation_order_change
1000026,1000027,User_83579,AmazonHelp,2026-08-18T08:47:00Z,Is there a price match policy if an item I bought 2 days ago went on sale today?,Warranty details depend on the manufacturer and seller listed on product page. DM us the item link for quick check.,product_stock_inquiry
1000028,1000029,User_28131,AmazonHelp,2026-08-17T15:05:00Z,2-step verification code prompt keeps looping back to login screen.,Security is our priority! Please DM us immediately with your phone number/email so our account security team can secure your account.,account_login_security
1000030,1000031,User_99192,AmazonHelp,2026-08-14T19:04:00Z,My package #742-3684052 was supposed to arrive yesterday but tracking shows stuck in transit since Monday. Help!,Thanks for reaching out! Please send us a direct message with your order ID and address so we can locate your shipment.,shipping_delivery_status
1000032,1000033,User_42953,AmazonHelp,2026-08-18T00:43:00Z,Someone changed my account password without my permission! Help lock my account.,Try clearing browser cookies/cache or using a different browser. DM us if the 2FA loop continues!,account_login_security
1000034,1000035,User_94012,AmazonHelp,2026-08-11T03:18:00Z,Item arrived severely damaged during transit. Box was ripped open.,We want to make this right! Please DM us your order ID so we can ship out the missing item immediately.,missing_damaged_item
1000036,1000037,User_75612,AmazonHelp,2026-08-25T05:32:00Z,Received a suspicious email claiming my Amazon account was suspended. Is this real?,Security is our priority! Please DM us immediately with your phone number/email so our account security team can secure your account.,account_login_security
